session,bout,fav,entry_ask,conf1,r2_end_pnl,pre_r3_pnl,pre_r4_pnl,map_end_pnl
manual-1044738-omc2398105,2,Aurora,0.52,0.28,-0.01,-0.01,0.0,
manual-1049948-omc2398107,1,Vitality,0.66,0.11,-0.01,-0.11,-0.28,
manual-1049948-omc2398107,2,FURIA,0.46,0.17,0.02,0.01,-0.07,
manual-1053479-omc2398108,1,Vitality,0.71,0.03,-0.005,0.0,-0.11,
manual-1053479-omc2398108,2,Vitality,0.75,0.1,0.06,0.045,0.05,-0.31
manual-1053479-omc2398108,3,Vitality,0.73,0.26,-0.09,-0.01,-0.27,
manual-1053479-omc2398108,4,Aurora,0.47,0.22,-0.02,-0.02,-0.11,
