recv,a,v,mid,gap
1789927802.864127,1,0,0.47,-0.294
1789927890.9019,2,0,,
1789927995.415048,2,1,0.325,-0.377
1789928104.681267,2,2,,
1789928252.424094,2,3,,
1789928412.205015,2,3,0.16999999999999998,-0.347
