bout,recv,old,new,event,latency_s
4,1789914664.493732,0.665,0.44,none,
4,1789919222.059863,0.41,0.37,none,
4,1789927762.052401,0.475,0.505,kill(Aurora),7.38
4,1789927798.050964,0.455,0.515,round_start,4.81
4,1789927799.064624,0.515,0.485,round_start,3.8
4,1789927808.056491,0.485,0.435,round_start,-5.19
4,1789927864.070909,0.455,0.485,kill(Aurora),0.73
4,1789927881.053566,0.45,0.485,round_start,9.85
4,1789927884.065235,0.485,0.455,round_start,6.84
4,1789927884.076865,0.455,0.415,round_start,6.83
4,1789927981.054694,0.365,0.335,kill(Vitality),-9.1
4,1789927982.080162,0.33,0.295,kill(Vitality),-10.13
4,1789928004.051434,0.305,0.35,round_start,-8.64
4,1789928028.050508,0.355,0.41,kill(Vitality),-9.04
4,1789928037.050676,0.405,0.36,kill(Vitality),0.79
4,1789928046.052079,0.31,0.27,kill(Aurora),3.95
4,1789928487.049679,0.22,0.255,kill(Aurora),-5.81
4,1789928590.051274,0.27,0.235,none,
4,1789928704.050986,0.195,0.23,round_start,3.59
4,1789928719.048357,0.23,0.265,round_start,-11.41
4,1789928795.055014,0.25,0.205,none,
4,1789929223.04964,0.19,0.15,round_start,-1.54
4,1789929323.241506,0.095,0.065,kill(Vitality),-9.12
4,1789929821.045906,0.046,0.077,kill(Aurora),1.12
