bout,recv,old,new,event,latency_s
2,1789920297.07849,0.17,0.21,kill(Vitality),9.17
2,1789920410.071524,0.23,0.26,none,
2,1789920419.068512,0.26,0.3,kill(Vitality),7.36
2,1789920751.070741,0.255,0.3,round_start,5.34
2,1789920924.069569,0.37,0.34,none,
2,1789920939.086166,0.295,0.265,kill(Aurora),5.18
2,1789920944.09017,0.28,0.315,kill(Aurora),0.18
2,1789920953.110831,0.315,0.365,kill(Vitality),-2.08
2,1789921114.071819,0.37,0.405,kill(Aurora),-13.01
2,1789921159.070723,0.37,0.335,kill(Vitality),3.54
2,1789921162.097919,0.335,0.375,kill(Vitality),0.52
2,1789921163.068649,0.375,0.415,kill(Vitality),-0.46
2,1789921163.099636,0.42,0.375,kill(Vitality),-0.49
2,1789921167.068148,0.375,0.42,kill(Vitality),-4.45
2,1789921381.072795,0.485,0.43,round_start,-10.81
2,1789921567.073527,0.355,0.395,none,
2,1789922003.076403,0.695,0.73,none,
2,1789922008.064933,0.74,0.77,none,
2,1789922171.069209,0.855,0.89,none,
2,1789922185.062904,0.87,0.835,kill(Vitality),6.06
2,1789922213.064761,0.795,0.76,kill(Vitality),-1.19
2,1789922333.062627,0.735,0.825,none,
2,1789922356.065962,0.91,0.87,kill(Vitality),12.35
2,1789922607.062501,0.85,0.81,round_start,-0.98
2,1789922641.154539,0.79,0.82,kill(Vitality),2.12
2,1789922645.061742,0.83,0.79,kill(Vitality),-1.78
2,1789922669.062591,0.79,0.76,kill(Aurora),11.28
2,1789922856.247005,0.725,0.785,none,
2,1789922858.991123,0.785,0.845,none,
2,1789922864.224739,0.845,0.875,none,
2,1789922867.061487,0.85,0.805,none,
2,1789922869.069212,0.815,0.845,none,
2,1789922870.061716,0.845,0.76,none,
2,1789922877.620431,0.76,0.7,none,
2,1789922879.275497,0.7,0.665,none,
2,1789922941.062879,0.605,0.645,round_start,-3.81
2,1789923049.087539,0.535,0.46,round_start,-6.21
2,1789923053.140283,0.445,0.39,round_start,4.65
2,1789923062.069404,0.405,0.445,round_start,-4.28
2,1789923099.17298,0.435,0.55,kill(Vitality),2.29
2,1789923100.288568,0.55,0.49,kill(Vitality),1.17
2,1789923100.363934,0.49,0.54,kill(Vitality),1.1
2,1789923101.070561,0.56,0.51,kill(Vitality),0.39
2,1789923104.069039,0.51,0.47,kill(Vitality),-2.61
2,1789923106.072178,0.47,0.505,kill(Vitality),-4.61
2,1789923109.074743,0.505,0.55,kill(Vitality),-7.62
2,1789923111.074707,0.575,0.675,kill(Vitality),-9.62
2,1789923111.096784,0.675,0.75,kill(Vitality),-9.64
2,1789923114.235863,0.765,0.85,kill(Vitality),-12.78
