bout,recv,old,new,event,latency_s
1,1789916408.050519,0.39,0.43,none,
1,1789916411.054466,0.435,0.52,none,
1,1789916413.087723,0.52,0.45,none,
1,1789916644.045467,0.385,0.355,round_end(CT),1.7
1,1789916699.039438,0.365,0.31,kill(Aurora),-4.76
1,1789916989.044875,0.415,0.385,none,
1,1789917260.048669,0.48,0.515,kill(Aurora),13.1
1,1789917315.050355,0.51,0.545,round_start,2.96
1,1789917340.046337,0.54,0.505,none,
1,1789917355.051468,0.495,0.46,kill(Aurora),10.1
1,1789917417.056158,0.365,0.395,kill(Vitality),-9.1
1,1789917536.050155,0.4,0.37,none,
1,1789917725.086198,0.195,0.25,round_start,-2.66
1,1789918265.058322,0.085,0.05,kill(Aurora),-0.96
