recv,a_score,v_score,mid_aurora,fair_a,gap
1789916648.042388,1,0,0.35,0.495,-0.145
1789916648.042897,1,0,,0.495,
1789916648.04493,1,0,0.35,0.495,-0.145
1789916648.045437,1,0,,0.495,
1789916650.044531,1,0,0.355,0.495,-0.14
1789916650.045038,1,0,,0.495,
1789916652.047247,1,0,0.355,0.495,-0.14
1789916652.047757,1,0,,0.495,
1789916652.066127,1,0,0.37,0.495,-0.125
1789916657.039937,1,0,0.395,0.495,-0.1
1789916657.040444,1,0,,0.495,
1789916657.043571,1,0,0.395,0.495,-0.1
1789916657.044079,1,0,,0.495,
1789916658.247308,1,0,0.395,0.495,-0.1
1789916658.247816,1,0,,0.495,
1789916658.403586,1,0,0.395,0.495,-0.1
1789916658.404097,1,0,,0.495,
1789916658.417289,1,0,0.395,0.495,-0.1
1789916658.417795,1,0,,0.495,
1789916661.045437,1,0,0.375,0.495,-0.12
1789916661.045944,1,0,,0.495,
1789916663.042785,1,0,0.37,0.495,-0.125
1789916663.043288,1,0,,0.495,
1789916665.040298,1,0,0.395,0.495,-0.1
1789916666.042163,1,0,0.395,0.495,-0.1
1789916667.041539,1,0,0.395,0.495,-0.1
1789916672.040918,1,0,0.38,0.495,-0.115
1789916672.041421,1,0,,0.495,
1789916673.041103,1,0,0.38,0.495,-0.115
1789916678.042379,1,0,0.405,0.495,-0.09
1789916678.042885,1,0,,0.495,
1789916681.041263,1,0,0.405,0.495,-0.09
1789916681.041766,1,0,,0.495,
1789916686.040861,1,0,0.405,0.495,-0.09
1789916686.041365,1,0,,0.495,
1789916688.03982,1,0,0.405,0.495,-0.09
1789916694.040491,1,0,0.385,0.495,-0.11
1789916694.040996,1,0,,0.495,
1789916696.042292,1,0,0.365,0.495,-0.13
1789916696.042795,1,0,,0.495,
1789916699.039438,1,0,0.31,0.495,-0.185
1789916699.039944,1,0,,0.495,
1789916701.045034,1,0,0.31,0.495,-0.185
1789916701.045605,1,0,,0.495,
1789916704.281521,1,0,0.315,0.495,-0.18
1789916704.282023,1,0,,0.495,
1789916706.041894,1,0,0.31,0.495,-0.185
1789916706.042397,1,0,,0.495,
1789916710.045889,1,0,0.305,0.495,-0.19
1789916710.046393,1,0,,0.495,
1789916712.041012,1,0,0.305,0.495,-0.19
1789916712.041515,1,0,,0.495,
1789916713.044624,1,0,0.305,0.495,-0.19
1789916713.045131,1,0,,0.495,
1789916713.045634,1,0,0.305,0.495,-0.19
1789916713.046137,1,0,,0.495,
1789916714.045606,1,0,0.305,0.495,-0.19
1789916714.046108,1,0,,0.495,
1789916726.043841,1,0,0.3,0.495,-0.195
1789916726.044346,1,0,,0.495,
1789916736.044779,1,0,0.295,0.495,-0.2
1789916738.040435,1,0,0.295,0.495,-0.2
1789916741.041783,1,0,0.295,0.495,-0.2
1789916741.042286,1,0,,0.495,
1789916743.040335,1,0,0.295,0.495,-0.2
1789916743.040842,1,0,,0.495,
1789916744.063724,1,0,0.28500000000000003,0.495,-0.21
1789916747.041087,1,0,0.29000000000000004,0.495,-0.205
1789916747.046124,1,0,0.29000000000000004,0.495,-0.205
1789916747.196498,1,0,,0.495,
1789916748.043886,1,0,0.275,0.495,-0.22
1789916752.046889,1,0,0.28,0.495,-0.215
1789916755.040846,2,0,0.28500000000000003,0.554,-0.269
1789916755.041351,2,0,,0.554,
1789916766.044863,2,0,0.28,0.554,-0.274
1789916767.041874,2,0,0.28,0.554,-0.274
1789916767.04238,2,0,,0.554,
1789916768.040948,2,0,0.28,0.554,-0.274
1789916777.041284,2,0,0.28500000000000003,0.554,-0.269
1789916777.041789,2,0,,0.554,
1789916783.042231,2,0,0.28500000000000003,0.554,-0.269
1789916783.044247,2,0,,0.554,
1789916789.043283,2,0,0.28500000000000003,0.554,-0.269
1789916789.093405,2,0,,0.554,
1789916794.041856,2,0,0.28500000000000003,0.554,-0.269
1789916801.149187,3,0,0.28500000000000003,0.661,-0.376
1789916801.14969,3,0,,0.661,
1789916801.150195,3,0,0.28500000000000003,0.661,-0.376
1789916805.044531,3,0,0.28,0.661,-0.381
1789916805.045033,3,0,,0.661,
1789916807.04353,3,0,0.275,0.661,-0.386
1789916807.054702,3,0,0.275,0.661,-0.386
1789916807.055206,3,0,,0.661,
1789916808.04785,3,0,0.275,0.661,-0.386
1789916811.062787,3,0,0.275,0.661,-0.386
1789916811.136587,3,0,0.275,0.661,-0.386
1789916811.13709,3,0,,0.661,
1789916813.042176,3,0,0.275,0.661,-0.386
1789916813.04268,3,0,,0.661,
1789916816.042479,3,0,0.275,0.661,-0.386
1789916821.043536,3,0,0.28500000000000003,0.661,-0.376
1789916821.044041,3,0,,0.661,
1789916828.045549,3,0,0.29500000000000004,0.661,-0.366
1789916833.041988,3,0,0.325,0.661,-0.336
1789916833.042491,3,0,,0.661,
1789916839.044569,3,0,0.345,0.661,-0.316
1789916842.045889,3,0,0.35,0.661,-0.311
1789916842.046393,3,0,,0.661,
1789916844.042948,3,0,0.345,0.661,-0.316
1789916844.043451,3,0,,0.661,
1789916849.043997,3,0,0.365,0.661,-0.296
1789916851.05432,3,0,0.385,0.661,-0.276
1789916851.054916,3,0,,0.661,
1789916852.187173,3,0,0.385,0.661,-0.276
1789916852.188182,3,0,0.375,0.661,-0.286
1789916856.044504,3,0,0.355,0.661,-0.306
1789916856.045006,3,0,,0.661,
1789916857.042336,3,0,0.36,0.661,-0.301
1789916859.049673,3,0,0.365,0.661,-0.296
1789916859.050175,3,0,,0.661,
1789916860.044209,3,0,0.365,0.661,-0.296
1789916869.052354,3,0,0.36,0.661,-0.301
1789916869.052865,3,0,,0.661,
1789916874.051827,3,0,0.365,0.661,-0.296
1789916874.052333,3,0,,0.661,
1789916880.04551,3,0,0.355,0.661,-0.306
1789916880.046017,3,0,,0.661,
1789916888.047952,3,0,0.37,0.661,-0.291
1789916888.048455,3,0,,0.661,
1789916894.055199,3,0,0.38,0.661,-0.281
1789916894.055706,3,0,,0.661,
1789916894.056213,3,0,0.38,0.661,-0.281
1789916899.765928,3,0,0.38,0.661,-0.281
1789916899.825014,3,0,,0.661,
1789916901.050403,3,0,0.38,0.661,-0.281
1789916902.066811,3,0,0.385,0.661,-0.276
1789916907.053219,3,0,0.405,0.661,-0.256
1789916907.053721,3,0,,0.661,
1789916908.048213,3,0,0.405,0.661,-0.256
1789916908.048716,3,0,,0.661,
1789916914.044862,3,0,0.405,0.661,-0.256
1789916915.042182,3,0,0.385,0.661,-0.276
1789916915.042686,3,0,,0.661,
1789916915.049771,3,0,0.395,0.661,-0.266
1789916915.050273,3,0,,0.661,
1789916915.0528,3,0,0.395,0.661,-0.266
1789916915.198056,3,0,,0.661,
1789916915.198559,3,0,0.395,0.661,-0.266
1789916915.199061,3,0,,0.661,
1789916920.042313,3,1,0.39,0.55,-0.16
1789916920.042819,3,1,,0.55,
1789916923.043376,3,1,0.38,0.55,-0.17
1789916923.04388,3,1,,0.55,
1789916927.05084,3,1,0.39,0.55,-0.16
1789916927.051348,3,1,,0.55,
1789916931.042152,3,1,0.39,0.55,-0.16
1789916931.042655,3,1,,0.55,
1789916939.043427,3,1,0.385,0.55,-0.165
1789916942.045363,3,1,0.385,0.55,-0.165
1789916942.045866,3,1,,0.55,
1789916942.188359,3,1,0.405,0.55,-0.145
1789916942.202514,3,1,,0.55,
1789916943.041952,3,1,0.415,0.55,-0.135
1789916956.044064,3,1,0.39,0.55,-0.16
1789916956.044568,3,1,,0.55,
1789916959.042812,3,1,0.39,0.55,-0.16
1789916959.043316,3,1,,0.55,
1789916963.044386,3,1,0.385,0.55,-0.165
1789916963.044889,3,1,,0.55,
1789916966.043744,3,1,0.395,0.55,-0.155
1789916966.044252,3,1,,0.55,
1789916966.047281,3,1,0.395,0.55,-0.155
1789916966.047856,3,1,,0.55,
1789916984.043131,3,1,0.41500000000000004,0.55,-0.135
1789916984.043636,3,1,,0.55,
1789916989.044875,3,1,0.385,0.55,-0.165
1789916989.045382,3,1,,0.55,
1789916993.044315,3,1,0.385,0.55,-0.165
1789916995.046852,3,1,0.385,0.55,-0.165
1789916995.047359,3,1,,0.55,
1789916998.048788,3,1,0.385,0.55,-0.165
1789916999.043415,3,1,0.395,0.55,-0.155
1789916999.04493,3,1,,0.55,
1789917001.049297,3,1,0.4,0.55,-0.15
1789917006.045452,3,1,0.375,0.55,-0.175
1789917006.045962,3,1,,0.55,
1789917009.163722,3,1,0.375,0.55,-0.175
1789917010.049422,3,1,0.375,0.55,-0.175
1789917010.049929,3,1,,0.55,
1789917011.044639,3,1,0.375,0.55,-0.175
1789917016.051589,3,1,0.375,0.55,-0.175
1789917016.0521,3,1,,0.55,
1789917017.043093,3,1,0.375,0.55,-0.175
1789917017.043601,3,1,,0.55,
1789917027.043074,3,1,0.375,0.55,-0.175
1789917027.043578,3,1,,0.55,
1789917047.044245,3,1,0.39,0.55,-0.16
1789917047.044751,3,1,,0.55,
1789917061.116573,3,1,0.41000000000000003,0.55,-0.14
1789917061.11708,3,1,,0.55,
1789917072.043367,3,1,0.395,0.55,-0.155
1789917078.045298,3,1,0.395,0.55,-0.155
1789917080.05179,3,1,0.395,0.55,-0.155
1789917080.052295,3,1,,0.55,
1789917082.051032,3,1,0.4,0.55,-0.15
1789917082.051538,3,1,,0.55,
1789917103.042968,3,1,0.4,0.55,-0.15
1789917103.04347,3,1,,0.55,
1789917109.051069,3,1,0.405,0.55,-0.145
1789917109.086177,3,1,0.405,0.55,-0.145
1789917109.086684,3,1,,0.55,
1789917114.04666,3,1,0.41000000000000003,0.55,-0.14
1789917114.047171,3,1,,0.55,
1789917119.049174,3,1,0.41500000000000004,0.55,-0.135
1789917119.049681,3,1,,0.55,
1789917152.048239,3,1,0.405,0.55,-0.145
1789917152.048743,3,1,,0.55,
1789917154.047747,3,1,0.395,0.55,-0.155
1789917154.04825,3,1,,0.55,
1789917159.046478,3,1,0.39,0.55,-0.16
1789917159.046981,3,1,,0.55,
1789917160.044344,3,1,0.395,0.55,-0.155
1789917160.044851,3,1,,0.55,
1789917184.047005,3,1,0.395,0.55,-0.155
1789917186.234694,3,1,0.395,0.55,-0.155
1789917186.235197,3,1,,0.55,
1789917193.046038,3,1,0.395,0.55,-0.155
1789917193.046543,3,1,,0.55,
1789917199.045412,3,1,0.395,0.55,-0.155
1789917199.048941,3,1,0.395,0.55,-0.155
1789917199.082338,3,1,,0.55,
1789917199.201538,3,1,0.395,0.55,-0.155
1789917199.202043,3,1,,0.55,
1789917199.202547,3,1,0.395,0.55,-0.155
1789917204.04942,3,1,0.395,0.55,-0.155
1789917204.049923,3,1,,0.55,
1789917209.047147,3,1,0.395,0.55,-0.155
1789917210.046457,3,1,0.395,0.55,-0.155
1789917210.046959,3,1,,0.55,
1789917211.054984,3,1,0.395,0.55,-0.155
1789917214.061544,3,1,0.395,0.55,-0.155
1789917215.052792,3,1,0.395,0.55,-0.155
1789917215.053296,3,1,,0.55,
1789917220.04565,3,1,0.395,0.55,-0.155
1789917220.046152,3,1,,0.55,
1789917225.046303,3,1,0.4,0.55,-0.15
1789917225.113556,3,1,,0.55,
1789917233.048577,3,1,0.41500000000000004,0.55,-0.135
1789917233.049085,3,1,,0.55,
1789917236.055145,3,1,0.445,0.55,-0.105
1789917236.055651,3,1,,0.55,
1789917239.049119,3,1,0.45999999999999996,0.55,-0.09
1789917239.050638,3,1,,0.55,
1789917240.048286,3,1,0.475,0.55,-0.075
1789917243.100441,3,1,0.475,0.55,-0.075
1789917243.100949,3,1,,0.55,
1789917245.047532,3,1,0.48,0.55,-0.07
1789917245.048039,3,1,,0.55,
1789917247.049693,3,1,0.485,0.55,-0.065
1789917247.050198,3,1,,0.55,
1789917248.049274,3,1,0.485,0.55,-0.065
1789917248.049777,3,1,,0.55,
1789917250.045777,3,1,0.48,0.55,-0.07
1789917250.046283,3,1,,0.55,
1789917260.048669,3,1,0.515,0.55,-0.035
1789917262.045261,3,1,0.515,0.55,-0.035
1789917262.045794,3,1,,0.55,
1789917268.046667,3,1,0.51,0.55,-0.04
1789917268.047171,3,1,,0.55,
1789917271.045204,3,1,0.5,0.55,-0.05
1789917271.045705,3,1,,0.55,
1789917301.051707,3,2,0.52,0.486,0.034
1789917301.052213,3,2,,0.486,
1789917302.04745,3,2,0.51,0.486,0.024
1789917302.047954,3,2,,0.486,
1789917315.050355,3,2,0.5449999999999999,0.486,0.059
1789917316.051436,3,2,0.55,0.486,0.064
1789917321.049128,3,2,0.5549999999999999,0.486,0.069
1789917321.049631,3,2,,0.486,
1789917325.399378,3,2,0.54,0.486,0.054
1789917325.399881,3,2,,0.486,
1789917330.08088,3,2,0.54,0.486,0.054
1789917330.081387,3,2,,0.486,
1789917340.046337,3,2,0.505,0.486,0.019
1789917340.046841,3,2,,0.486,
1789917342.045663,3,2,0.495,0.486,0.009
1789917342.046168,3,2,,0.486,
1789917345.046204,3,2,0.495,0.486,0.009
1789917345.04671,3,2,,0.486,
1789917346.047588,3,2,0.495,0.486,0.009
1789917349.060477,3,2,0.495,0.486,0.009
1789917349.097098,3,2,,0.486,
1789917355.051468,3,2,0.45999999999999996,0.486,-0.026
1789917355.05198,3,2,,0.486,
1789917360.052808,3,2,0.43,0.486,-0.056
1789917360.053313,3,2,,0.486,
1789917361.04602,3,2,0.435,0.486,-0.051
1789917361.046525,3,2,,0.486,
1789917363.050521,3,2,0.445,0.486,-0.041
1789917363.051028,3,2,,0.486,
1789917367.049057,3,2,0.445,0.486,-0.041
1789917367.052098,3,2,0.44,0.486,-0.046
1789917368.047379,3,2,0.435,0.486,-0.051
1789917370.246521,3,2,0.435,0.486,-0.051
1789917370.247028,3,2,,0.486,
1789917371.048869,3,2,0.435,0.486,-0.051
1789917371.049377,3,2,,0.486,
1789917372.058484,3,2,0.435,0.486,-0.051
1789917378.052974,3,2,0.43,0.486,-0.056
1789917378.05348,3,2,,0.486,
1789917379.049525,3,2,0.41500000000000004,0.486,-0.071
1789917379.050028,3,2,,0.486,
1789917387.048715,3,2,0.395,0.486,-0.091
1789917387.049219,3,2,,0.486,
1789917403.061949,3,2,0.39,0.486,-0.096
1789917403.062455,3,2,,0.486,
1789917404.050353,3,2,0.395,0.486,-0.091
1789917406.047468,3,2,0.39,0.486,-0.096
