recv,a_score,v_score,mid_aurora,fair_a,gap
1789919965.068,0,1,0.22999999999999998,0.332,-0.102
1789919966.067206,0,1,0.245,0.332,-0.087
1789919976.069607,0,1,0.245,0.332,-0.087
1789919976.070112,0,1,,0.332,
1789919977.06608,0,1,0.245,0.332,-0.087
1789919977.07677,0,1,0.245,0.332,-0.087
1789919977.077275,0,1,,0.332,
1789919979.068695,0,1,0.245,0.332,-0.087
1789919979.069201,0,1,,0.332,
1789919983.067202,0,1,0.235,0.332,-0.097
1789919983.067706,0,1,,0.332,
1789919985.070214,0,1,0.255,0.332,-0.077
1789919985.07122,0,1,,0.332,
1789919986.067473,0,1,0.27,0.332,-0.062
1789919986.067977,0,1,,0.332,
1789919987.066901,0,1,0.255,0.332,-0.077
1789919987.067476,0,1,,0.332,
1789919987.086671,0,1,0.255,0.332,-0.077
1789919987.087176,0,1,,0.332,
1789919989.066648,0,1,0.255,0.332,-0.077
1789919989.067158,0,1,,0.332,
1789919998.074019,0,1,0.255,0.332,-0.077
1789919998.074525,0,1,,0.332,
1789919998.075032,0,1,0.255,0.332,-0.077
1789919998.076045,0,1,,0.332,
1789919998.09535,0,1,0.255,0.332,-0.077
1789919998.097883,0,1,0.255,0.332,-0.077
1789919998.098392,0,1,,0.332,
1789920001.191023,0,1,0.255,0.332,-0.077
1789920001.19153,0,1,,0.332,
1789920002.07388,0,1,0.255,0.332,-0.077
1789920002.074386,0,1,,0.332,
1789920003.069069,0,1,0.255,0.332,-0.077
1789920003.069578,0,1,,0.332,
1789920010.083816,0,1,0.265,0.332,-0.067
1789920010.084325,0,1,,0.332,
1789920011.168271,0,1,0.265,0.332,-0.067
1789920011.169288,0,1,,0.332,
1789920016.094001,0,1,0.275,0.332,-0.057
1789920016.146952,0,1,,0.332,
1789920017.091065,0,1,0.29000000000000004,0.332,-0.042
1789920017.091571,0,1,,0.332,
1789920018.070682,0,1,0.3,0.332,-0.032
1789920018.071187,0,1,,0.332,
1789920019.067227,0,1,0.295,0.332,-0.037
1789920019.067735,0,1,,0.332,
1789920022.088289,0,1,0.28,0.332,-0.052
1789920022.10595,0,1,,0.332,
1789920030.181278,0,1,0.26,0.332,-0.072
1789920030.298994,0,1,0.24,0.332,-0.092
1789920032.070558,0,1,0.21000000000000002,0.332,-0.122
1789920032.071061,0,1,,0.332,
1789920032.110994,0,1,0.2,0.332,-0.132
1789920036.072771,0,1,0.2,0.332,-0.132
1789920036.073276,0,1,,0.332,
1789920051.087512,0,1,0.2,0.332,-0.132
1789920051.097634,0,1,,0.332,
1789920052.097768,0,1,0.2,0.332,-0.132
1789920052.098273,0,1,,0.332,
1789920058.067777,0,1,0.2,0.332,-0.132
1789920063.129836,0,1,0.21000000000000002,0.332,-0.122
1789920063.130341,0,1,,0.332,
1789920068.386199,0,1,0.21000000000000002,0.332,-0.122
1789920079.068606,0,1,0.21000000000000002,0.332,-0.122
1789920079.069202,0,1,,0.332,
1789920086.069308,0,1,0.195,0.332,-0.137
1789920086.069815,0,1,,0.332,
1789920096.069577,0,1,0.185,0.332,-0.147
1789920096.070083,0,1,,0.332,
1789920097.068495,0,1,0.185,0.332,-0.147
1789920097.069504,0,1,,0.332,
1789920109.06958,0,2,0.16999999999999998,0.271,-0.101
1789920109.07009,0,2,,0.271,
1789920112.068998,0,2,0.18,0.271,-0.091
1789920112.069508,0,2,,0.271,
1789920114.073622,0,2,0.18,0.271,-0.091
1789920130.07364,0,2,0.16999999999999998,0.271,-0.101
1789920130.076675,0,2,0.16999999999999998,0.271,-0.101
1789920130.077179,0,2,,0.271,
1789920148.067085,0,2,0.18,0.271,-0.091
1789920148.067587,0,2,,0.271,
1789920155.167095,0,2,0.18,0.271,-0.091
1789920159.069588,0,2,0.16999999999999998,0.271,-0.101
1789920159.070092,0,2,,0.271,
1789920170.068472,0,2,0.16999999999999998,0.271,-0.101
1789920170.068976,0,2,,0.271,
1789920184.07015,0,2,0.185,0.271,-0.086
1789920184.070654,0,2,,0.271,
1789920193.069022,0,2,0.175,0.271,-0.096
1789920212.068445,0,2,0.185,0.271,-0.086
1789920222.068158,0,3,0.2,0.215,-0.015
1789920222.072192,0,3,0.2,0.215,-0.015
1789920222.200114,0,3,,0.215,
1789920223.079004,0,3,0.2,0.215,-0.015
1789920223.079507,0,3,,0.215,
1789920228.136147,0,3,0.21000000000000002,0.215,-0.005
1789920228.13665,0,3,,0.215,
1789920228.137152,0,3,0.21000000000000002,0.215,-0.005
1789920229.073744,0,3,0.21000000000000002,0.215,-0.005
1789920229.074249,0,3,,0.215,
1789920231.076729,0,3,0.21000000000000002,0.215,-0.005
1789920231.077236,0,3,,0.215,
1789920231.081902,0,3,0.21000000000000002,0.215,-0.005
1789920231.082919,0,3,,0.215,
1789920232.071517,0,3,0.215,0.215,0.0
1789920232.072028,0,3,,0.215,
1789920232.09244,0,3,0.20500000000000002,0.215,-0.01
1789920232.092947,0,3,,0.215,
1789920233.069608,0,3,0.20500000000000002,0.215,-0.01
1789920233.070116,0,3,,0.215,
1789920236.29268,0,3,0.225,0.215,0.01
