recv,a_score,v_score,mid_aurora,fair_a,gap
1789927786.05057,1,0,0.475,0.764,-0.289
1789927789.122725,1,0,0.45999999999999996,0.764,-0.304
1789927789.124651,1,0,,0.764,
1789927791.063657,1,0,0.45999999999999996,0.764,-0.304
1789927794.051819,1,0,0.45499999999999996,0.764,-0.309
1789927794.05233,1,0,,0.764,
1789927794.068999,1,0,0.47,0.764,-0.294
1789927797.054554,1,0,0.45499999999999996,0.764,-0.309
1789927798.050964,1,0,0.515,0.764,-0.249
1789927799.05757,1,0,0.515,0.764,-0.249
1789927799.059083,1,0,0.515,0.764,-0.249
1789927799.064624,1,0,0.485,0.764,-0.279
1789927799.066132,1,0,,0.764,
1789927801.067293,1,0,0.47,0.764,-0.294
1789927804.053173,1,0,0.48,0.764,-0.284
1789927806.05299,1,0,0.48,0.764,-0.284
1789927806.0545,1,0,,0.764,
1789927806.058549,1,0,0.485,0.764,-0.279
1789927808.056491,1,0,0.435,0.764,-0.329
1789927810.056004,1,0,0.435,0.764,-0.329
1789927810.059053,1,0,,0.764,
1789927813.103269,1,0,0.435,0.764,-0.329
1789927813.103866,1,0,,0.764,
1789927814.050147,1,0,0.435,0.764,-0.329
1789927814.054534,1,0,0.435,0.764,-0.329
1789927817.051903,1,0,0.435,0.764,-0.329
1789927818.052707,1,0,0.46499999999999997,0.764,-0.299
1789927818.055774,1,0,,0.764,
1789927820.054313,1,0,0.475,0.764,-0.289
1789927823.054551,1,0,0.48,0.764,-0.284
1789927823.060141,1,0,0.47,0.764,-0.294
1789927834.055913,1,0,0.45499999999999996,0.764,-0.309
1789927836.0808,1,0,0.45499999999999996,0.764,-0.309
1789927838.051601,1,0,0.45999999999999996,0.764,-0.304
1789927838.058621,1,0,0.45999999999999996,0.764,-0.304
1789927838.067202,1,0,0.45999999999999996,0.764,-0.304
1789927838.067706,1,0,,0.764,
1789927839.053169,1,0,0.45999999999999996,0.764,-0.304
1789927840.050233,1,0,0.45999999999999996,0.764,-0.304
1789927840.057567,1,0,0.485,0.764,-0.279
1789927840.058074,1,0,,0.764,
1789927842.064416,1,0,0.485,0.764,-0.279
1789927842.064921,1,0,,0.764,
1789927843.051422,1,0,0.505,0.764,-0.259
1789927843.052927,1,0,,0.764,
1789927846.066213,1,0,0.505,0.764,-0.259
1789927846.067719,1,0,,0.764,
1789927847.053339,1,0,0.505,0.764,-0.259
1789927848.05274,1,0,0.51,0.764,-0.254
1789927849.363353,1,0,0.49,0.764,-0.274
1789927850.064778,1,0,0.47,0.764,-0.294
1789927851.051969,1,0,0.475,0.764,-0.289
1789927851.05247,1,0,,0.764,
1789927853.058833,1,0,0.475,0.764,-0.289
1789927854.054999,1,0,0.475,0.764,-0.289
1789927854.055501,1,0,,0.764,
1789927857.062835,1,0,0.47,0.764,-0.294
1789927857.063336,1,0,,0.764,
1789927859.068062,1,0,0.45999999999999996,0.764,-0.304
1789927862.05808,1,0,0.47,0.764,-0.294
1789927864.051816,1,0,0.45499999999999996,0.764,-0.309
1789927864.05332,1,0,,0.764,
1789927864.055836,1,0,0.45499999999999996,0.764,-0.309
1789927864.061355,1,0,0.45499999999999996,0.764,-0.309
1789927864.066882,1,0,0.45499999999999996,0.764,-0.309
1789927864.06739,1,0,,0.764,
1789927864.070909,1,0,0.485,0.764,-0.279
1789927864.075535,1,0,0.485,0.764,-0.279
1789927864.076042,1,0,,0.764,
1789927864.079554,1,0,0.485,0.764,-0.279
1789927864.080055,1,0,,0.764,
1789927867.051804,1,0,0.485,0.764,-0.279
1789927867.05331,1,0,,0.764,
1789927867.054437,1,0,0.495,0.764,-0.269
1789927868.051976,2,0,0.49,0.804,-0.314
1789927871.052008,2,0,0.485,0.804,-0.319
1789927871.053513,2,0,,0.804,
1789927871.073188,2,0,0.485,0.804,-0.319
1789927872.053627,2,0,0.485,0.804,-0.319
1789927873.055146,2,0,0.46499999999999997,0.804,-0.339
1789927874.050083,2,0,0.475,0.804,-0.329
1789927874.051591,2,0,,0.804,
1789927874.056917,2,0,0.475,0.804,-0.329
1789927874.057419,2,0,,0.804,
1789927876.049949,2,0,0.475,0.804,-0.329
1789927878.070496,2,0,0.45499999999999996,0.804,-0.349
1789927878.089817,2,0,0.44999999999999996,0.804,-0.354
1789927878.091323,2,0,,0.804,
1789927881.053566,2,0,0.485,0.804,-0.319
1789927884.056713,2,0,0.485,0.804,-0.319
1789927884.065235,2,0,0.45499999999999996,0.804,-0.349
1789927884.076865,2,0,0.415,0.804,-0.389
1789927885.466664,2,0,0.41000000000000003,0.804,-0.394
1789927885.535328,2,0,0.41000000000000003,0.804,-0.394
1789927887.052048,2,0,0.41000000000000003,0.804,-0.394
1789927887.053551,2,0,,0.804,
1789927889.054856,2,0,0.41000000000000003,0.804,-0.394
1789927889.201914,2,0,0.41000000000000003,0.804,-0.394
1789927889.219226,2,0,,0.804,
1789927889.252114,2,0,0.41000000000000003,0.804,-0.394
1789927889.314123,2,0,0.41000000000000003,0.804,-0.394
1789927889.315625,2,0,,0.804,
1789927893.053988,2,0,0.435,0.804,-0.369
1789927894.058774,2,0,0.42000000000000004,0.804,-0.384
1789927894.059327,2,0,,0.804,
1789927899.055063,2,0,0.41500000000000004,0.804,-0.389
1789927899.065142,2,0,0.41000000000000003,0.804,-0.394
1789927899.369109,2,0,,0.804,
1789927900.052216,2,0,0.41500000000000004,0.804,-0.389
1789927908.068713,2,0,0.395,0.804,-0.409
1789927920.049193,2,0,0.41000000000000003,0.804,-0.394
1789927920.050698,2,0,,0.804,
1789927921.064396,2,0,0.395,0.804,-0.409
1789927924.0523,2,0,0.38,0.804,-0.424
1789927924.053076,2,0,,0.804,
1789927926.054114,2,0,0.39,0.804,-0.414
1789927926.055619,2,0,,0.804,
1789927936.052526,2,0,0.385,0.804,-0.419
1789927936.054031,2,0,,0.804,
1789927943.050602,2,0,0.385,0.804,-0.419
1789927943.052104,2,0,,0.804,
1789927945.05253,2,0,0.38,0.804,-0.424
