t,bid_x,bid_sz_x,ask_x,ask_sz_x,bid_y,bid_sz_y,ask_y,ask_sz_y,ask_sum,bid_sum,ask_profit,bid_profit,viol,persist
2026-09-20 17:00:08.209602+00:00,0.999,1012597.74,0.88,0.0,0.12,0.0,0.001,1017200.23,0.881,1.119,0.0,0.0,True,45
2026-09-20 17:00:08.210115+00:00,0.999,1012597.74,0.88,0.0,0.12,0.0,0.001,1012597.74,0.881,1.119,0.0,0.0,True,44
2026-09-20 17:00:22.136288+00:00,0.999,1027591.04,0.88,0.0,0.12,0.0,0.001,1012597.74,0.881,1.119,0.0,0.0,True,43
2026-09-20 17:00:22.136795+00:00,0.999,1027591.04,0.88,0.0,0.12,0.0,0.001,1027591.04,0.881,1.119,0.0,0.0,True,42
2026-09-20 17:00:29.124197+00:00,0.999,1027530.58,0.88,0.0,0.12,0.0,0.001,1027591.04,0.881,1.119,0.0,0.0,True,41
2026-09-20 17:00:29.124705+00:00,0.999,1027530.58,0.88,0.0,0.12,0.0,0.001,1027530.58,0.881,1.119,0.0,0.0,True,40
2026-09-20 17:01:11.127464+00:00,0.999,1027418.64,0.88,0.0,0.12,0.0,0.001,1027530.58,0.881,1.119,0.0,0.0,True,39
2026-09-20 17:01:11.127973+00:00,0.999,1027418.64,0.88,0.0,0.12,0.0,0.001,1027418.64,0.881,1.119,0.0,0.0,True,38
2026-09-20 17:01:16.144888+00:00,0.999,1027376.02,0.88,0.0,0.12,0.0,0.001,1027418.64,0.881,1.119,0.0,0.0,True,37
2026-09-20 17:01:16.145393+00:00,0.999,1027376.02,0.88,0.0,0.12,0.0,0.001,1027376.02,0.881,1.119,0.0,0.0,True,36
2026-09-20 17:01:18.137088+00:00,0.999,1026479.92,0.88,0.0,0.12,0.0,0.001,1027376.02,0.881,1.119,0.0,0.0,True,35
2026-09-20 17:01:18.137598+00:00,0.999,1026479.92,0.88,0.0,0.12,0.0,0.001,1026479.92,0.881,1.119,0.0,0.0,True,34
2026-09-20 17:01:29.121693+00:00,0.999,1026305.8,0.88,0.0,0.12,0.0,0.001,1026479.92,0.881,1.119,0.0,0.0,True,33
2026-09-20 17:01:29.122201+00:00,0.999,1026305.8,0.88,0.0,0.12,0.0,0.001,1026305.8,0.881,1.119,0.0,0.0,True,32
2026-09-20 17:01:38.252255+00:00,0.999,1022835.58,0.88,0.0,0.12,0.0,0.001,1022835.58,0.881,1.119,0.0,0.0,True,31
2026-09-20 17:02:37.130335+00:00,0.999,1022827.54,0.88,0.0,0.12,0.0,0.001,1022835.58,0.881,1.119,0.0,0.0,True,30
2026-09-20 17:02:37.130840+00:00,0.999,1022827.54,0.88,0.0,0.12,0.0,0.001,1022827.54,0.881,1.119,0.0,0.0,True,29
2026-09-20 17:03:24.162761+00:00,0.999,1022513.26,0.88,0.0,0.12,0.0,0.001,1022827.54,0.881,1.119,0.0,0.0,True,28
2026-09-20 17:03:24.163270+00:00,0.999,1022513.26,0.88,0.0,0.12,0.0,0.001,1022513.26,0.881,1.119,0.0,0.0,True,27
