key,mtime,map,y,is_ct,side_prior,pistol_rate_gap,fk_gap,tk_gap,call_early_winrate,call_mid_winrate,call_early_alive_end,call_mid_alive_end,call_early_future_kill,call_mid_future_kill,form_gap
hltv_2389651_103966_mouz_vs_aurora_m2_inferno,1770044134.0,de_inferno,1,0,0.5357142857142857,0.13888888888888884,0.13333333333333333,0.06666666666666668,0.00294628828253507,0.01057443877129094,0.06114436950119412,0.008497080708185833,0.04004172562887198,0.015932463740946867,0.4200522385774805
hltv_2389652_103972_nrg_vs_falcons_m1_inferno,1770048559.0,de_inferno,0,0,0.59375,-0.1923076923076923,-0.1,-0.15,0.0699493549368036,-0.07795037037068064,-0.028255501895437907,-0.11995026616547927,-0.052654274965277637,-0.04764261667174369,
hltv_2389652_103972_nrg_vs_falcons_m1_inferno,1770048559.0,de_inferno,1,1,0.40625,-0.1923076923076923,-0.1,-0.15,0.0699493549368036,-0.07795037037068064,-0.028255501895437907,-0.11995026616547927,-0.052654274965277637,-0.04764261667174369,
hltv_2389650_103971_faze_vs_bc_game_m1_dust2,1770049094.0,de_dust2,0,1,0.4722222222222222,,,,,,,,,,
hltv_2389650_103971_faze_vs_bc_game_m1_dust2,1770049094.0,de_dust2,0,0,0.5277777777777778,,,,,,,,,,
hltv_2389652_103972_nrg_vs_falcons_m2_ancient,1770052512.0,de_ancient,1,1,0.625,-0.1388888888888889,-0.06666666666666667,-0.1,0.0044083285734721755,0.015867992277495857,-0.056346078052556814,-0.09211833010775944,-0.03260604207048601,-0.04901850238364136,
hltv_2389652_103972_nrg_vs_falcons_m2_ancient,1770052512.0,de_ancient,0,0,0.375,-0.1388888888888889,-0.06666666666666667,-0.1,0.0044083285734721755,0.015867992277495857,-0.056346078052556814,-0.09211833010775944,-0.03260604207048601,-0.04901850238364136,
hltv_2389650_103971_faze_vs_bc_game_m2_nuke,1770052582.0,de_nuke,1,0,0.44999999999999996,-0.625,0.0,0.0,0.00569781244705625,0.005532489505639671,0.04914641284715282,0.03166896427673155,0.023483602755307587,0.008598319907354879,
hltv_2389650_103971_faze_vs_bc_game_m2_nuke,1770052582.0,de_nuke,0,1,0.55,-0.625,0.0,0.0,0.00569781244705625,0.005532489505639671,0.04914641284715282,0.03166896427673155,0.023483602755307587,0.008598319907354879,
hltv_2389653_103979_furia_vs_natus_vincere_m1_mirage,1770059408.0,de_mirage,0,1,0.5833333333333334,0.0,0.0,-0.2,-0.03466140614328106,-0.14863312043797194,0.14718961240881895,0.10040534334564144,0.03821968847479401,0.028937492279552057,0.3770742077145569
hltv_2389653_103979_furia_vs_natus_vincere_m1_mirage,1770059408.0,de_mirage,0,0,0.41666666666666663,0.0,0.0,-0.2,-0.03466140614328106,-0.14863312043797194,0.14718961240881895,0.10040534334564144,0.03821968847479401,0.028937492279552057,0.3770742077145569
hltv_2389654_103977_fut_vs_astralis_m1_mirage,1770059428.0,de_mirage,0,1,0.575,0.0,0.2,0.3,-0.07845274717719103,-0.2504877804217215,0.052187586445702094,-0.004609985807718042,0.02242488297657541,0.029647301348216137,
hltv_2389654_103977_fut_vs_astralis_m1_mirage,1770059428.0,de_mirage,1,0,0.42500000000000004,0.0,0.2,0.3,-0.07845274717719103,-0.2504877804217215,0.052187586445702094,-0.004609985807718042,0.02242488297657541,0.029647301348216137,
hltv_2389653_103979_furia_vs_natus_vincere_m2_inferno,1770063573.0,de_inferno,1,0,0.5277777777777778,-0.27777777777777773,0.0,-0.23333333333333334,0.002074994845144118,-0.002699289634617741,0.08754443996306188,0.058003473256462545,0.052140389377520746,0.03766960910548289,0.4804423565163537
hltv_2389653_103979_furia_vs_natus_vincere_m2_inferno,1770063573.0,de_inferno,0,1,0.4722222222222222,-0.27777777777777773,0.0,-0.23333333333333334,0.002074994845144118,-0.002699289634617741,0.08754443996306188,0.058003473256462545,0.052140389377520746,0.03766960910548289,0.4804423565163537
hltv_2389654_103977_fut_vs_astralis_m2_overpass,1770063667.0,de_overpass,1,0,0.375,0.0,0.09999999999999999,0.2,-0.00214837279953195,-0.018567357670979112,-0.058870703152627435,-0.11862277338512905,-0.03329010725344139,-0.04946948689665659,-0.4402441895939015
hltv_2389654_103977_fut_vs_astralis_m2_overpass,1770063667.0,de_overpass,0,1,0.625,0.0,0.09999999999999999,0.2,-0.00214837279953195,-0.018567357670979112,-0.058870703152627435,-0.11862277338512905,-0.03329010725344139,-0.04946948689665659,-0.4402441895939015
hltv_2389656_103994_3dmax_vs_falcons_m1_anubis,1770126018.0,de_anubis,1,0,0.375,-0.1923076923076923,-0.05,-0.22499999999999998,-0.19269149111823086,-0.26967188481480847,-0.004788991570818246,-0.006943444358043505,0.057702422919831076,-0.029261137303977724,0.41632512203981104
hltv_2389656_103994_3dmax_vs_falcons_m1_anubis,1770126018.0,de_anubis,1,1,0.625,-0.1923076923076923,-0.05,-0.22499999999999998,-0.19269149111823086,-0.26967188481480847,-0.004788991570818246,-0.006943444358043505,0.057702422919831076,-0.029261137303977724,0.41632512203981104
hltv_2389656_103994_3dmax_vs_falcons_m2_dust2,1770129795.0,de_dust2,0,0,0.525,0.0892857142857143,-0.026666666666666665,-0.14,0.0038933890506807067,0.025201271274618353,0.06904072850385035,0.036600612713445,0.031946981599914714,0.02009273133309003,0.41632512203981104
hltv_2389656_103994_3dmax_vs_falcons_m2_dust2,1770129795.0,de_dust2,1,1,0.475,0.0892857142857143,-0.026666666666666665,-0.14,0.0038933890506807067,0.025201271274618353,0.06904072850385035,0.036600612713445,0.031946981599914714,0.02009273133309003,0.41632512203981104
hltv_2389655_103995_mouz_vs_faze_m2_inferno,1770130289.0,de_inferno,1,1,0.425,-0.1923076923076923,-0.025,-0.075,0.036198713743478494,0.16662773638649742,-0.07331506045486902,-0.05599427580445987,0.01161569989310518,-0.011143861584076153,
hltv_2389655_103995_mouz_vs_faze_m2_inferno,1770130289.0,de_inferno,1,0,0.575,-0.1923076923076923,-0.025,-0.075,0.036198713743478494,0.16662773638649742,-0.07331506045486902,-0.05599427580445987,0.01161569989310518,-0.011143861584076153,
hltv_2389657_104002_astralis_vs_furia_m1_overpass,1770135643.0,de_overpass,0,1,0.5357142857142857,-0.10869565217391303,-0.09166666666666666,-0.12499999999999999,0.28484972672528375,0.22956968922910537,-0.0013488378231694687,-0.048425958463411134,-0.09091686164988766,-0.09583184665239047,0.09670523039189287
hltv_2389657_104002_astralis_vs_furia_m1_overpass,1770135643.0,de_overpass,1,0,0.4642857142857143,-0.10869565217391303,-0.09166666666666666,-0.12499999999999999,0.28484972672528375,0.22956968922910537,-0.0013488378231694687,-0.048425958463411134,-0.09091686164988766,-0.09583184665239047,0.09670523039189287
hltv_2389659_104003_g2_vs_spirit_m1_anubis,1770135838.0,de_anubis,0,0,0.3928571428571429,0.0,-0.15,-0.2,-0.3476888770154542,-0.17373673894813346,-0.16463127072722467,-0.11856543629454291,-0.017059798313149077,-0.06649513368673327,
hltv_2389659_104003_g2_vs_spirit_m1_anubis,1770135838.0,de_anubis,1,1,0.6071428571428571,0.0,-0.15,-0.2,-0.3476888770154542,-0.17373673894813346,-0.16463127072722467,-0.11856543629454291,-0.017059798313149077,-0.06649513368673327,
hltv_2389657_104002_astralis_vs_furia_m2_mirage,1770139710.0,de_mirage,1,0,0.4772727272727273,-0.0892857142857143,-0.06999999999999999,-0.06999999999999999,-0.01876756099520982,-0.0024469609013502702,-0.05545801758954505,-0.07911388280801201,-0.04037866245482896,-0.05637913470375999,-0.03205073431407572
hltv_2389657_104002_astralis_vs_furia_m2_mirage,1770139710.0,de_mirage,1,1,0.5227272727272727,-0.0892857142857143,-0.06999999999999999,-0.06999999999999999,-0.01876756099520982,-0.0024469609013502702,-0.05545801758954505,-0.07911388280801201,-0.04037866245482896,-0.05637913470375999,-0.03205073431407572
hltv_2389659_104003_g2_vs_spirit_m2_overpass,1770139987.0,de_overpass,1,1,0.46875,0.0,0.0,-0.04999999999999999,-0.003647217960146776,0.021531522940061054,-0.047329495035802915,0.014409132147392978,-0.02409375872126196,-0.009127802903900306,-0.41635091575341543
hltv_2389659_104003_g2_vs_spirit_m2_overpass,1770139987.0,de_overpass,0,0,0.53125,0.0,0.0,-0.04999999999999999,-0.003647217960146776,0.021531522940061054,-0.047329495035802915,0.014409132147392978,-0.02409375872126196,-0.009127802903900306,-0.41635091575341543
hltv_2389658_104008_vitality_vs_aurora_m2_overpass,1770154090.0,de_overpass,0,1,0.5277777777777778,0.3010033444816054,0.024999999999999994,0.0,-0.1377358800907177,-0.2656182579744799,-0.03521611312867706,-0.032270979554288426,0.002460063743628338,-0.004465532738040179,-0.4128133593587102
