key,mtime,y,is_ct,pistol_rate_gap,pistol_rate_top,call_early_winrate,call_mid_winrate,call_early_alive_end,call_mid_alive_end,call_early_future_kill,call_mid_future_kill,cpist_early_winrate,cpist_mid_winrate,cpist_early_alive_end,cpist_mid_alive_end,cpist_early_future_kill,cpist_mid_future_kill,form_gap
hltv_2389644_103938_falcons_vs_aurora_m1_anubis,1769953705.0,1,1,,,,,,,,,,,,,,,
hltv_2389644_103938_falcons_vs_aurora_m1_anubis,1769953705.0,0,0,,,,,,,,,,,,,,,
hltv_2389643_103935_mouz_vs_nrg_m1_dust2,1769954055.0,0,0,,,,,,,,,,,,,,,
hltv_2389643_103935_mouz_vs_nrg_m1_dust2,1769954055.0,0,1,,,,,,,,,,,,,,,
hltv_2389643_103935_mouz_vs_nrg_m2_ancient,1769957345.0,1,1,-0.625,0.8125,-0.012209438001529294,-0.00651390895568893,-0.029233403617624054,-0.05379019493173376,-0.008277519323027505,-0.01737976027280419,-0.004652149001757366,-0.019298523981134352,-0.031384014839927366,-0.23800459061624546,-0.0027785011927287107,-0.06537359533505843,
hltv_2389643_103935_mouz_vs_nrg_m2_ancient,1769957345.0,0,0,-0.625,0.8125,-0.012209438001529294,-0.00651390895568893,-0.029233403617624054,-0.05379019493173376,-0.008277519323027505,-0.01737976027280419,-0.004652149001757366,-0.019298523981134352,-0.031384014839927366,-0.23800459061624546,-0.0027785011927287107,-0.06537359533505843,
hltv_2389644_103938_falcons_vs_aurora_m2_mirage,1769957970.0,1,1,0.0,0.5,0.0033100662881601073,-0.0016888895367280221,0.070402153888595,0.05202287907520936,0.03708182687322559,0.023759526522836083,0.00810518432232965,0.06070380630450861,0.0028192804762209867,0.14796150344550166,-0.0033999734614945654,0.03959682693777161,0.6678293725756554
hltv_2389644_103938_falcons_vs_aurora_m2_mirage,1769957970.0,0,0,0.0,0.5,0.0033100662881601073,-0.0016888895367280221,0.070402153888595,0.05202287907520936,0.03708182687322559,0.023759526522836083,0.00810518432232965,0.06070380630450861,0.0028192804762209867,0.14796150344550166,-0.0033999734614945654,0.03959682693777161,0.6678293725756554
hltv_2389645_103943_g2_vs_fut_m1_mirage,1769962751.0,1,1,,,,,,,,,,,,,,,
hltv_2389645_103943_g2_vs_fut_m1_mirage,1769962751.0,0,0,,,,,,,,,,,,,,,
hltv_2389646_103946_the_mongolz_vs_furia_m1_mirage,1769965830.0,0,1,,,,,,,,,,,,,,,
hltv_2389646_103946_the_mongolz_vs_furia_m1_mirage,1769965830.0,1,0,,,,,,,,,,,,,,,
