mid,lag,entry_p,y,won_r1,won_r13,dm,t13
hltv-2394887-108793,1,0.865,1,0,0,-1,2026-06-07 19:10:19.910000+00:00
hltv-2394889-108803,1,0.665,1,1,1,1,2026-06-08 12:21:59.790000+00:00
hltv-2394890-108804,1,0.885,1,1,1,0,2026-06-08 12:19:21.970000+00:00
hltv-2394891-108807,1,0.455,1,1,1,-2,2026-06-08 14:47:16.729999999+00:00
hltv-2394892-108806,1,0.895,1,1,1,4,2026-06-08 15:24:58.630000+00:00
hltv-2394893-108809,1,0.895,1,0,0,4,2026-06-08 17:46:34.500000+00:00
hltv-2394896-108829,1,0.125,0,0,0,-1,2026-06-09 14:50:39.189999999+00:00
hltv-2394899-108862,1,0.505,0,1,1,1,2026-06-11 15:26:43.419999999+00:00
hltv-2394900-108864,1,0.985,1,0,0,-2,2026-06-11 19:03:59.250000+00:00
hltv-2394901-108860,1,0.385,0,0,0,33,2026-06-11 15:00:06.150000+00:00
hltv-2394903-108851,1,0.995,1,0,0,8,2026-06-11 09:31:56.990000+00:00
hltv-2394974-108877,1,0.245,0,1,1,-1,2026-06-12 11:46:47.170000+00:00
hltv-2394976-108879,1,0.865,1,1,1,0,2026-06-12 15:02:45.770000+00:00
hltv-2394979-108913,1,0.38,1,0,0,-1,2026-06-13 09:18:34.580000+00:00
hltv-2394980-108910,1,0.82,0,0,0,9,2026-06-13 09:28:18.120000+00:00
hltv-2394982-108924,1,0.22,0,0,0,14,2026-06-13 12:49:18.310000+00:00
hltv-2394983-108931,1,0.615,1,1,1,-3,2026-06-13 14:51:45.140000+00:00
hltv-2394985-108937,1,0.845,1,1,1,8,2026-06-13 18:12:48.490000+00:00
hltv-2394990-108964,1,0.86,1,1,1,0,2026-06-14 15:36:46.190000+00:00
hltv-2394991-108975,1,0.815,1,1,1,0,2026-06-14 18:01:46.450000+00:00
hltv-2396017-109861,1,0.555,1,1,1,5,2026-07-30 15:45:24.950000+00:00
hltv-2396019-109924,1,0.805,1,1,1,13,2026-08-01 14:44:24.110000+00:00
hltv-2396021-109950,1,0.555,1,1,1,-1,2026-08-02 10:50:00.060000+00:00
hltv-2396584-110273,1,0.89,1,0,0,0,2026-08-14 13:49:20.089999999+00:00
hltv-2396597-110342,1,0.78,1,0,0,9,2026-08-16 13:59:15.520000+00:00
hltv-2396609-110456,1,0.325,1,0,0,-4,2026-08-21 14:08:37.760000+00:00
hltv-2396610-110462,1,0.545,1,0,0,9,2026-08-21 17:00:40.180000+00:00
