mid,entry_p,fav_won,lag0,lag1,lag2,lag3,lag4,lag5
hltv-2389651-103966,0.57,False,-0.13499999999999995,-0.13499999999999995,-0.13999999999999996,-0.17999999999999994,-0.19999999999999996,-0.25499999999999995
hltv-2389653-103979,0.505,True,0.05500000000000005,0.10499999999999998,0.10499999999999998,0.18499999999999994,0.16000000000000003,0.08499999999999996
hltv-2389654-103977,0.595,True,0.08500000000000008,-0.07999999999999996,-0.08499999999999996,-0.13499999999999995,-0.13999999999999996,-0.025000000000000022
hltv-2389656-103994,0.81,True,0.07499999999999996,0.09999999999999998,0.10499999999999998,0.10499999999999998,0.07499999999999996,0.06499999999999995
hltv-2389657-104002,0.625,False,-0.11499999999999999,-0.16499999999999998,-0.20500000000000002,-0.20500000000000002,-0.27,-0.32
hltv-2389947-104312,0.6,False,-0.020000000000000018,-0.015000000000000013,-0.10999999999999999,-0.12,0.05500000000000005,0.05500000000000005
hltv-2389948-104317,0.51,False,-0.08000000000000002,0.06999999999999995,0.09499999999999997,0.125,0.11499999999999999,0.14
hltv-2389952-104340,0.615,False,-0.05999999999999994,-0.0050000000000000044,-0.015000000000000013,0.08499999999999996,0.07499999999999996,0.07000000000000006
hltv-2389956-104371,0.595,True,0.07000000000000006,0.09000000000000008,0.125,0.18000000000000005,0.15500000000000003,0.20000000000000007
hltv-2389958-104377,0.515,True,0.030000000000000027,0.010000000000000009,-0.015000000000000013,-0.010000000000000009,-0.010000000000000009,0.08999999999999997
hltv-2389959-104390,0.585,False,-0.02499999999999991,-0.05999999999999994,-0.175,-0.175,-0.20499999999999996,-0.12999999999999995
hltv-2389960-104385,0.605,True,0.08999999999999997,0.14,0.040000000000000036,0.040000000000000036,-0.015000000000000013,-0.11499999999999999
hltv-2389961-104404,0.735,True,0.11499999999999999,0.13,0.11499999999999999,0.10999999999999999,0.06500000000000006,0.07999999999999996
hltv-2389963-104429,0.675,True,0.07999999999999996,0.08999999999999997,0.10999999999999999,0.13,0.09999999999999998,0.09999999999999998
hltv-2389964-104425,0.585,False,-0.07499999999999996,-0.08999999999999997,-0.09999999999999998,-0.06499999999999995,-0.06499999999999995,-0.010000000000000009
hltv-2389965-104434,0.585,False,-0.03499999999999992,-0.02499999999999991,-0.16499999999999998,-0.13499999999999995,-0.06999999999999995,0.010000000000000009
hltv-2389966-104430,0.54,False,0.06499999999999995,-0.010000000000000009,-0.04500000000000004,-0.05500000000000005,-0.06500000000000006,-0.20500000000000002
hltv-2389972-104462,0.545,True,0.08499999999999996,0.07999999999999996,0.08499999999999996,0.10499999999999998,0.14,0.019999999999999907
hltv-2389974-104468,0.67,True,0.0050000000000000044,0.0050000000000000044,-0.29500000000000004,-0.03500000000000003,-0.03500000000000003,0.029999999999999916
hltv-2389975-104482,0.65,False,-0.20500000000000002,-0.21500000000000002,-0.20500000000000002,-0.12,-0.09499999999999997,-0.135
hltv-2389977-104519,0.525,False,-0.11500000000000005,-0.14,-0.135,-0.08500000000000002,-0.050000000000000044,-0.015000000000000013
